Results generated by BModes (v1.03.01, 25-Sept-2007, compiled using double precision) on 22-Sep-2020 at 12:54:06.
Created 22-Sep-2020 12:54:06.                                                                      
=================================================================================

            rotating blade frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.67987E+00 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist
 0.9500	 0.001799	-0.016319	 0.000042	 0.000155	 0.332496
 0.9750	 	 	 	 	 0.359642
 1.0000	 0.000745	-0.023579	 0.000051	 0.000190	 0.369672


 -------- Mode No.  10  (freq = 0.16365E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.001690
 0.0500	 0.000193	 0.007364	 0.000130	 0.004961	-0.003364
 0.0750	 	 	 	 	-0.006454
 0.1000	 0.000788	 0.015922	 0.000504	 0.009802	-0.009430
 0.1250	 	 	 	 	-0.015242
 0.1500	 0.001714	 0.020373	 0.001070	 0.012450	-0.020508
 0.1750	 	 	 	 	-0.026543
 0.2000	 0.002619	 0.015290	 0.001636	 0.010020	-0.031010
 0.2250	 	 	 	 	-0.043514
 0.2500	 0.002959	-0.002132	 0.001939	 0.001954	-0.048288
 0.2750	 	 	 	 	-0.042703
 0.3000	 0.002306	-0.023703	 0.001770	-0.008747	-0.024090
 0.3250	 	 	 	 	 0.007680
 0.3500	 0.000748	-0.037462	 0.001102	-0.017823	 0.045653
 0.3750	 	 	 	 	 0.088805
 0.4000	-0.001067	-0.033426	 0.000109	-0.021734	 0.126889
 0.4250	 	 	 	 	 0.158090
 0.4500	-0.002090	-0.006127	-0.000898	-0.018454	 0.175177
 0.4750	 	 	 	 	 0.177360
 0.5000	-0.001267	 0.038278	-0.001562	-0.008330	 0.164277
 0.5250	 	 	 	 	 0.135171
 0.5500	 0.001619	 0.072538	-0.001639	 0.004656	 0.099528
 0.5750	 	 	 	 	 0.055053
 0.6000	 0.004994	 0.055320	-0.001121	 0.015387	 0.021480
 0.6250	 	 	 	 	-0.000473
 0.6500	 0.005679	-0.030142	-0.000216	 0.020609	 0.003548
 0.6750	 	 	 	 	 0.039368
 0.7000	 0.001462	-0.125345	 0.000785	 0.019998	 0.092896
 0.7250	 	 	 	 	 0.166080
 0.7500	-0.004455	-0.090145	 0.001690	 0.016647	 0.220262
 0.7750	 	 	 	 	 0.249067
 0.8000	-0.004877	 0.075036	 0.002280	 0.006343	 0.227851
 0.8250	 	 	 	 	 0.138229
 0.8500	 0.002342	 0.183181	 0.002008	-0.018283	 0.026309
 0.8750	 	 	 	 	-0.097332
 0.9000	 0.008532	 0.032274	 0.000369	-0.047210	-0.171884
 0.9250	 	 	 	 	-0.196256
 0.9500	 0.001744	-0.286520	-0.002534	-0.067872	-0.160254
 0.9750	 	 	 	 	 0.012364
 1.0000	-0.021762	-0.554478	-0.006237	-0.078621	 0.100084


 -------- Mode No.  11  (freq = 0.16853E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.000893
 0.0500	 0.000241	 0.009185	-0.000523	-0.020004	-0.001777
 0.0750	 	 	 	 	-0.003407
 0.1000	 0.000938	 0.018295	-0.001967	-0.037098	-0.004973
 0.1250	 	 	 	 	-0.008021
 0.1500	 0.001993	 0.023218	-0.004084	-0.046471	-0.010766
 0.1750	 	 	 	 	-0.013873
